UPC,Price,AvailableQty
"000570007102",21.19,49
"000570208103",21.19,70
"000570209100",21.19,72
"000570962050",21.19,99
"000570965815",21.19,18
"000570965846",21.19,52
"000578000013",21.19,31
"000578000044",21.19,17
"000578000051",21.19,43
"000578000068",21.19,37
"000578000075",21.19,22
"000579000029",21.19,82
"000579000050",21.19,51
"000579000067",21.19,38
"000579000074",21.19,73
"000579000081",21.19,96
"000579000098",21.19,40
"000579000203",21.19,13
"000579000302",21.19,10
"000579000401",21.19,47
"000579000500",21.19,85
"000579000555",21.19,12
"000579000609",21.19,34
"000579000708",21.19,44
"000579000807",21.19,28
"000579000814",21.19,10
"000579000906",21.19,24
"000579030019",21.19,37
"000579037551",21.19,18
"000579375905",21.19,84
"000579420001",21.19,19
"000579515004",21.19,84
"000579515011",21.19,52
"000579515028",21.19,9
"000579515035",21.19,74
"000579515042",21.19,97
"000662457143",21.19,17
"000662738129",21.19,62
"008054011102",21.19,63
"008054011119",21.19,18
"008054011126",21.19,96
"008054011140",21.19,73
"008054011157",21.19,86
"008054011164",21.19,67
"008054011171",21.19,24
"008054011188",21.19,50
"008054011201",21.19,41
"008054011225",21.19,49
"008054011256",21.19,39
"008054011263",21.19,90
"008054011294",21.19,19
"008054011331",21.19,36
"008054011386",21.19,91
"008054012000",21.19,7
"008054012017",21.19,16
"008054012024",21.19,65
"008054012048",21.19,93
"008054012062",21.19,11
"008054012079",21.19,67
"008102110016",21.19,25
"008102188039",21.19,24
"008102197635",21.19,90
"008102322341",21.19,81
"008102365591",21.19,75
"008122007624",21.19,37
"008176194103",21.19,89
"008176258355",21.19,60
"008176393100",21.19,15
"008176500003",21.19,6
"008176602103",21.19,71
"008176602202",21.19,5
"008176602301",21.19,18
"008176603001",21.19,50
"008176700014",21.19,0
"008176700403",21.19,96
"008176700502",21.19,79
"008176799520",21.19,81
"008217001001",21.19,69
"008217003005",21.19,71
"008217005207",21.19,89
"008217005306",21.19,59
"008217005405",21.19,41
"008217005702",21.19,58
"008217007102",21.19,48
"008217007201",21.19,85
"008217007300",21.19,66
"008261000210",21.19,97
"008261010011",21.19,5
"008261010103",21.19,39
"008261021604",21.19,5
"008261040315",21.19,71
"008261060108",21.19,30
"008261070107",21.19,49
"008261071104",21.19,97
"008261090310",21.19,84
"008261110193",21.19,77
"008261120314",21.19,63
"008261960071",21.19,5
"008261970056",21.19,14
"008261970070",21.19,26
"008261980079",21.19,60
"008381100920",21.19,85
"008381150963",21.19,28
"008381160962",21.19,4
"008381220932",21.19,83
"008381251004",21.19,38
"008381301945",21.19,40
"008381400921",21.19,75
"008381550039",21.19,20
"008381600949",21.19,38
"008381904931",21.19,49
"008381955964",21.19,5
"008463000315",21.19,31
"008706233524",21.19,95
"008706235528",21.19,56
"008933990016",21.19,11
"008933990030",21.19,77
"008933990184",21.19,59
"008933990207",21.19,39
"009071100015",21.19,52
"009071100022",21.19,86
"009071100046",21.19,38
"009071100053",21.19,47
"009071100060",21.19,31
"009071100077",21.19,2
"009071100084",21.19,28
"009071100107",21.19,2
"009071100114",21.19,3
"009071100169",21.19,64
"009071100176",21.19,64
"009071100190",21.19,1
"009071100206",21.19,64
"009071100220",21.19,20
"009071100251",21.19,1
"009071100268",21.19,46
"009071200012",21.19,20
"009071200036",21.19,86
"009071200067",21.19,18
"009071200074",21.19,0
"009071200081",21.19,97
"009273007006",21.19,76
"009273017012",21.19,12
"009273027011",21.19,20
"009273037003",21.19,68
"009273047002",21.19,38
"009273047125",21.19,54
"009273047132",21.19,73
"009273077009",21.19,29
"009273097892",21.19,81
"009273127995",21.19,41
"009273137116",21.19,77
"009273137123",21.19,65
"009273137130",21.19,9
"009273137987",21.19,95
"009273147993",21.19,10
"009273155998",21.19,98
"009273167007",21.19,40
"009273177129",21.19,56
"009273197066",21.19,57
"009273197134",21.19,23
"009273197141",21.19,81
"009273207123",21.19,51
"009273207130",21.19,85
"009273227121",21.19,41
"009273227138",21.19,32
"009385100008",21.19,33
"009385100015",21.19,65
"009385100978",21.19,34
"009385100985",21.19,20
"009385100992",21.19,30
"009385108004",21.19,9
"009385108981",21.19,93
"009385108998",21.19,10
"009385109001",21.19,47
"009385110007",21.19,20
"009385110991",21.19,86
"009385200968",21.19,13
"009385200975",21.19,53
"009385200982",21.19,22
"009385200999",21.19,71
"009385202559",21.19,45
"009385202771",21.19,24
"009385202801",21.19,75
"009385205017",21.19,21
"009385208001",21.19,14
"009385208995",21.19,82
"009385210950",21.19,42
"009385210981",21.19,97
"009385210998",21.19,2
"009385290013",21.19,61
"009385300965",21.19,92
"009385300972",21.19,83
"009385300989",21.19,76
"009385300996",21.19,77
"009385310957",21.19,93
"009385310964",21.19,99
"009385310988",21.19,20
"009385310995",21.19,47
"009385400009",21.19,15
"009385400016",21.19,89
"009385500013",21.19,64
"009385600003",21.19,32
"009385610019",21.19,74
"009385660007",21.19,23
"009385806016",21.19,61
"009385901018",21.19,46
"009385990012",21.19,24
"009450031091",21.19,86
"009450031190",21.19,67
"009450031299",21.19,67
"009460000018",21.19,23
"009460000025",21.19,92
"009460000032",21.19,78
"009460000056",21.19,92
"009460000063",21.19,61
"009460000070",21.19,51
"009460000087",21.19,2
"009460000094",21.19,0
"009460000100",21.19,7
"009460000124",21.19,66
"009460000131",21.19,68
"009460000148",21.19,96
"009460000155",21.19,88
"009460000179",21.19,62
"009460000247",21.19,55
"009460000261",21.19,78
"009460000285",21.19,78
"009460000315",21.19,70
"009460000322",21.19,91
"009460000339",21.19,85
"009460000377",21.19,34
"009460000391",21.19,44
"009460000551",21.19,71
"009460002012",21.19,61
"010006202452",21.19,26
"010086100471",21.19,23
"010086100921",21.19,10
"010086101171",21.19,19
"010086101300",21.19,7
"010086101379",21.19,73
"010086101386",21.19,52
"010086101393",21.19,52
"010086101416",21.19,81
"010086101539",21.19,71
"010086101782",21.19,70
"010086101812",21.19,55
"010086101850",21.19,21
"010086101867",21.19,99
"010086102000",21.19,55
"010086102505",21.19,60
"010086102529",21.19,31
"010086103403",21.19,71
"010086103410",21.19,94
"010086103434",21.19,78
"010086103441",21.19,27
"010086103458",21.19,94
"010086103717",21.19,35
"010086103823",21.19,33
"010086103830",21.19,92
"010086103847",21.19,92
"010086103854",21.19,31
"010086104035",21.19,38
"010086105360",21.19,59
"010242120015",21.19,21
"010242120022",21.19,26
"010242120190",21.19,58
"010242120251",21.19,40
"010242120268",21.19,22
"010465008909",21.19,14
"010465109002",21.19,39
"010465109019",21.19,9
"010465119605",21.19,0
"010465139306",21.19,28
"010465208507",21.19,99
"010465208903",21.19,88
"010465208910",21.19,89
"010465208927",21.19,18
"010465218902",21.19,63
"010465228802",21.19,38
"010465228901",21.19,48
"010465229502",21.19,20
"010465229908",21.19,31
"010465238900",21.19,91
"010465329011",21.19,97
"010465349101",21.19,89
"010465449412",21.19,66
"010465500403",21.19,26
"010465520500",21.19,82
"010465530509",21.19,40
"010465709400",21.19,19
"010465709509",21.19,10
"010465709608",21.19,15
"010465709622",21.19,92
"010465809209",21.19,9
"010465819208",21.19,43
"010465829009",21.19,79
"010465829023",21.19,90
"010465839107",21.19,1
"010465849601",21.19,83
"010465869302",21.19,53
"010465909008",21.19,8
"010642111484",21.19,14
"010642400144",21.19,36
"010642402124",21.19,75
"010986000017",21.19,68
"010986000024",21.19,5
"010986002219",21.19,13
"010986002226",21.19,22
"010986002509",21.19,9
"010986002516",21.19,91
"010986002608",21.19,67
"010986002615",21.19,47
