UPC,Price,AvailableQty
"018200079863",9.49,123
"018200110306",19.49,65
"018200110474",9.49,137
"018200111686",16.49,38
"018200112188",13.99,43
"018200113086",13.99,11
"018200113499",16.49,166
"034100572433",16.49,72
"034100572563",13.99,162
"034100573126",16.49,9
"034100573409",13.99,45
"034100573416",19.49,99
"034100575052",5.29,103
"034100575090",9.49,156
"034100576325",9.49,90
"011034500039",28.99,91
"011034500053",14.99,64
"011034500077",7.99,189
"011034501005",14.99,138
"011034501012",7.99,70
"011034501029",12.99,198
"011034503801",7.99,174
"011034503818",7.99,117
"011034503825",13.99,39
"011034503832",3.99,179
"089744335852",14.99,75
"098709088504",19.99,43
"098709088535",14.99,198
"098709088580",19.99,29
"098709088603",24.99,198
"080480000127",76.99,93
"080480005221",42.99,159
"080480005245",29.99,48
"080480005252",19.99,119
"080480005269",15.39,73
"080480005276",7.99,193
"080480005283",5.49,97
"080480015206",29.99,86
"080480015305",19.99,92
"080480015329",29.99,82
"080480015404",15.39,9
"080480015459",15.39,197
"080480015602",7.99,154
"080480015701",5.49,68
"080480015800",3.99,71
"080480016210",2.99,41
"080480230005",39.98,95
"080480230012",33.99,142
"080480231002",49.99,118
"080480231019",32.99,58
"080480280000",17.99,74
"080480280017",13.99,186
"080480280024",10.99,43
"080480280031",7.99,119
"080480280048",5.49,27
"080480280055",2.99,10
"080480984403",55.31,156
"080480984410",109.99,22
"080480984427",169.99,167
"087116014633",17.99,65
"087116014657",13.99,45
"087116014664",7.99,162
"087116014671",10.99,14
"087116014701",2.99,149
"087116014749",5.49,44
